#GC Content (%)	Sample
1.0	0.0
2.0	2.2845331168205147E-7
3.0	4.5690662336410295E-7
4.0	4.5690662336410295E-7
5.0	9.138132467282059E-7
6.0	4.5690662336410295E-7
7.0	1.8276264934564118E-6
8.0	2.969893051866669E-6
9.0	5.025972857005132E-6
10.0	3.883706298594875E-6
11.0	5.482879480369235E-6
12.0	1.3021838765876935E-5
13.0	1.370719870092309E-5
14.0	1.7819358311200013E-5
15.0	3.266882357053336E-5
16.0	3.563871662240003E-5
17.0	6.716527363452313E-5
18.0	1.0120481707514882E-4
19.0	1.5283526551529246E-4
20.0	2.3781989746101559E-4
21.0	3.308003953156106E-4
22.0	5.227011771285337E-4
23.0	8.064401902376417E-4
24.0	0.001132443066007929
25.0	0.0019265467774147401
26.0	0.0020930892416309555
27.0	0.003128439650174013
28.0	0.004311599351375357
29.0	0.0056955695135452265
30.0	0.0073614510623307445
31.0	0.009446315984741147
32.0	0.011873860874674624
33.0	0.015038167694782719
34.0	0.018393918390080376
35.0	0.02202152852627967
36.0	0.026649535714334666
37.0	0.03188225881841206
38.0	0.037265761108199597
39.0	0.04401107358892385
40.0	0.050350196081477415
41.0	0.05575311690275793
42.0	0.060023366204718834
43.0	0.0646646236848514
44.0	0.06686577134290796
45.0	0.06614111743825249
46.0	0.06520194587392758
47.0	0.05808356913522654
48.0	0.05104857785528945
49.0	0.04251287677091295
50.0	0.03559508203986875
51.0	0.031863297193542445
52.0	0.02083494202540309
53.0	0.021105887653058007
54.0	0.016733748174086908
55.0	0.013235671065611333
56.0	0.009581103438633555
57.0	0.006979248671886672
58.0	0.0050200330709013995
59.0	0.0035238923326956443
60.0	0.002574440369345038
61.0	0.001957844881115181
62.0	0.0014719246871674578
63.0	0.001104343308671037
64.0	7.858793921862572E-4
65.0	6.540618313457134E-4
66.0	5.77529971932226E-4
67.0	4.212679067417029E-4
68.0	1.9761211460497452E-4
69.0	1.0988604291906676E-4
70.0	9.846337733496419E-5
71.0	8.978215149104623E-5
72.0	7.05920733097539E-5
73.0	5.619951467378466E-5
74.0	3.7466343115856436E-5
75.0	2.7414397401846174E-5
76.0	1.7590904999517965E-5
77.0	9.595039090646163E-6
78.0	9.36658577896411E-6
79.0	5.482879480369235E-6
80.0	4.112159610276926E-6
81.0	9.138132467282059E-7
82.0	2.2845331168205147E-7
83.0	0.0
84.0	6.853599350461545E-7
85.0	0.0
86.0	0.0
87.0	0.0
88.0	4.5690662336410295E-7
89.0	2.2845331168205147E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.3478745389241036E-5
