#Coverage (X)	Coverage
1.0	91.3041760390859
2.0	84.42856151319569
3.0	77.77383126985093
4.0	72.07030959603492
5.0	67.2083684399705
6.0	63.1015556310157
7.0	59.57159957117952
8.0	56.48471621980309
9.0	53.73550865691834
10.0	51.26852678671141
11.0	49.029053927328405
12.0	46.98673874214571
13.0	45.107105441124816
14.0	43.36112149929014
15.0	41.735326770256265
16.0	40.21224599957687
17.0	38.78188875563719
18.0	37.43424460462352
19.0	36.16556780142029
20.0	34.974430189025426
21.0	33.84959586557214
22.0	32.781706468931134
23.0	31.767326954809874
24.0	30.803799697713416
25.0	29.8892271557053
26.0	29.01927685250196
27.0	28.192464624944407
28.0	27.403821926823795
29.0	26.653036723837147
30.0	25.936859325401812
31.0	25.251872022464312
32.0	24.598713551909782
33.0	23.97612244172707
34.0	23.38090100705068
35.0	22.808319394578746
36.0	22.258236255438987
37.0	21.73160769473921
38.0	21.22749627609059
39.0	20.746358049628228
40.0	20.28322313566335
41.0	19.84240267480068
42.0	19.414682320743097
43.0	19.002971726691797
44.0	18.60717621557194
45.0	18.224908858313796
46.0	17.85820721224617
47.0	17.504192294206177
48.0	17.16179465329219
49.0	16.83214641396242
50.0	16.51144982538412
51.0	16.20506814382459
