#Read position (bp)	Clipping profile
0.0	5.071519197637801
1.0	4.189546819239684
2.0	3.3468822609078677
3.0	2.507605331729041
4.0	2.317445223496524
5.0	2.1452154162690102
6.0	1.9864586600791532
7.0	1.842113480154035
8.0	1.7335722927807804
9.0	1.6295479442781782
10.0	1.54267328214726
11.0	1.4608398412360932
12.0	1.3771531854320862
13.0	1.2976586089757096
14.0	1.2276088736934536
15.0	1.1582831435863747
16.0	1.0910668606563552
17.0	1.0312068278395543
18.0	0.9708700837962994
19.0	0.9171357902394329
20.0	0.8647452264521339
21.0	0.8156916412500131
22.0	0.7692033583352481
23.0	0.7391794894041396
24.0	0.7133119464786772
25.0	0.6900692947438773
26.0	0.6649078803226001
27.0	0.6453120694701736
28.0	0.6357182560377861
29.0	0.6267799205417728
30.0	0.6181067556654746
31.0	0.6117486196826438
32.0	0.6093620841052082
33.0	0.6109888611654827
34.0	0.6087989689689594
35.0	0.6107028344296103
36.0	0.6088228045302821
37.0	0.6057063048873389
38.0	0.606483940075492
39.0	0.6005876180932886
40.0	0.6035253510263116
41.0	0.6071841096893463
42.0	0.6113910862628033
43.0	0.6176091883228632
44.0	0.6228708884848496
45.0	0.6258980047728329
46.0	0.6287254982347383
47.0	0.6351193875595531
48.0	0.6340020956225515
49.0	0.6373956836658712
50.0	0.6433813890030348
51.0	0.6459347735097292
52.0	0.647388742750414
53.0	0.657021288969951
54.0	0.6641451423602736
55.0	0.6728332044623985
56.0	0.6782200413213291
57.0	0.6858057087122791
58.0	0.6985130423424446
59.0	0.7125641057421774
60.0	0.7254800005339166
61.0	0.7445097168049288
62.0	0.7645107321998411
63.0	0.7903067684413354
64.0	0.815876366850264
65.0	0.8422474360086686
66.0	0.8723070582817611
67.0	0.8987645313499604
68.0	0.9241464247134727
69.0	0.9438048039143712
70.0	0.9712544322226281
71.0	1.0065161657544004
72.0	1.0390368097340619
73.0	1.0687776313744635
74.0	1.1071379878781868
75.0	1.1478610443980233
76.0	1.1888373537569135
77.0	1.228574213927023
78.0	1.2729470907743985
79.0	1.328227716372075
80.0	1.3889488088416586
81.0	1.4456804242348547
82.0	1.5128907482745437
83.0	1.585925887612468
84.0	1.695891249774754
85.0	2.164087221946259
86.0	2.6085608517113457
87.0	2.8867307906827744
