#Mapping quality	mapping quality
0.0	2562960.0
1.0	2.5133977E7
2.0	948977.0
3.0	662991.0
4.0	519533.0
5.0	413120.0
6.0	375184.0
7.0	321711.0
8.0	277828.0
9.0	274555.0
10.0	218873.0
11.0	305312.0
12.0	204700.0
13.0	197428.0
14.0	218959.0
15.0	201170.0
16.0	187919.0
17.0	213937.0
18.0	206992.0
19.0	177327.0
20.0	168601.0
21.0	202690.0
22.0	263719.0
23.0	185001.0
24.0	216188.0
25.0	209671.0
26.0	204739.0
27.0	204846.0
28.0	251482.0
29.0	226920.0
30.0	225848.0
31.0	241942.0
32.0	272177.0
33.0	313287.0
34.0	322861.0
35.0	328834.0
36.0	455429.0
37.0	416992.0
38.0	492378.0
39.0	532582.0
40.0	726412.0
41.0	1011199.0
42.0	1744218.0
43.0	5604082.0
44.0	2.0025053E7
