#Duplication rate	Coverage
1.0	5620906.0
2.0	1806796.0
3.0	788861.0
4.0	426263.0
5.0	258969.0
6.0	172703.0
7.0	122568.0
8.0	91017.0
9.0	70124.0
10.0	54910.0
11.0	44653.0
12.0	36808.0
13.0	31149.0
14.0	26494.0
15.0	22455.0
16.0	19651.0
17.0	17133.0
18.0	15169.0
19.0	13358.0
20.0	12122.0
21.0	10870.0
22.0	9740.0
23.0	8828.0
24.0	7981.0
25.0	7374.0
26.0	6890.0
27.0	6365.0
28.0	5818.0
29.0	5444.0
30.0	5058.0
31.0	4747.0
32.0	4319.0
33.0	4012.0
34.0	3815.0
35.0	3557.0
36.0	3393.0
37.0	3138.0
38.0	3032.0
39.0	2827.0
40.0	2681.0
41.0	2612.0
42.0	2467.0
43.0	2344.0
44.0	2236.0
45.0	2116.0
46.0	1966.0
47.0	1899.0
48.0	1890.0
49.0	1720.0
50.0	70873.0
