#Coverage (X)	Coverage
1.0	74.1987302470785
2.0	65.42946487917239
3.0	58.43740288515718
4.0	53.21029758538122
5.0	49.09359302232625
6.0	45.81834763034949
7.0	43.11943626335988
8.0	40.8471891343255
9.0	38.8960346374078
10.0	37.16019847781932
11.0	35.597888061160845
12.0	34.19121742116849
13.0	32.90307581146753
14.0	31.712491593242476
15.0	30.607238089040578
16.0	29.579638454920797
17.0	28.616525910081705
18.0	27.708511422355684
19.0	26.854269512695083
20.0	26.042632286709377
21.0	25.278466946132937
22.0	24.548885407469115
23.0	23.850372617629745
24.0	23.18176444863836
25.0	22.545142462661374
26.0	21.937216964718303
27.0	21.35491161661703
28.0	20.79565146861809
29.0	20.25866043540384
30.0	19.74532400261866
31.0	19.25306455356322
32.0	18.781415370263005
33.0	18.32835623062826
34.0	17.89163755402174
35.0	17.469227117034364
36.0	17.065408057192386
37.0	16.675434519434802
38.0	16.302508189066884
39.0	15.940612404656989
40.0	15.592530138813231
41.0	15.256151826290747
42.0	14.929447910640292
43.0	14.614309266398664
44.0	14.309682444423373
45.0	14.015128729818343
46.0	13.730914818569033
47.0	13.455213843175144
48.0	13.188831225512715
49.0	12.932008325448564
50.0	12.683638354643108
51.0	12.442382499249405
