#Insert size (bp)	insert size
22.0	1.0
24.0	2.0
25.0	1.0
27.0	1.0
28.0	2.0
29.0	8.0
30.0	12.0
31.0	35.0
32.0	107.0
33.0	134.0
34.0	120.0
35.0	143.0
36.0	165.0
37.0	176.0
38.0	182.0
39.0	172.0
40.0	932.0
41.0	893.0
42.0	992.0
43.0	1027.0
44.0	1055.0
45.0	1202.0
46.0	1294.0
47.0	1439.0
48.0	1470.0
49.0	1523.0
50.0	1658.0
51.0	1701.0
52.0	1965.0
53.0	2057.0
54.0	2403.0
55.0	2583.0
56.0	2966.0
57.0	3314.0
58.0	3510.0
59.0	3917.0
60.0	4228.0
61.0	4531.0
62.0	4900.0
63.0	5419.0
64.0	6216.0
65.0	7012.0
66.0	8219.0
67.0	9299.0
68.0	10482.0
69.0	12177.0
70.0	12820.0
71.0	14495.0
72.0	16153.0
73.0	17654.0
74.0	19905.0
75.0	22051.0
76.0	25020.0
77.0	28423.0
78.0	31660.0
79.0	34637.0
80.0	38444.0
81.0	41085.0
82.0	44103.0
83.0	47572.0
84.0	51547.0
85.0	56147.0
86.0	61279.0
87.0	68167.0
88.0	82497.0
89.0	80664.0
90.0	84691.0
91.0	87571.0
92.0	92081.0
93.0	95941.0
94.0	100617.0
95.0	104824.0
96.0	110621.0
97.0	116138.0
98.0	123339.0
99.0	128329.0
100.0	132661.0
101.0	135976.0
102.0	138349.0
103.0	140601.0
104.0	142188.0
105.0	146063.0
106.0	148658.0
107.0	152212.0
108.0	157192.0
109.0	159295.0
110.0	162985.0
111.0	163498.0
112.0	164195.0
113.0	164314.0
114.0	163888.0
115.0	164672.0
116.0	165996.0
117.0	167247.0
118.0	167946.0
119.0	168566.0
120.0	171300.0
121.0	169022.0
122.0	169340.0
123.0	168548.0
124.0	165511.0
125.0	164744.0
126.0	164420.0
127.0	161815.0
128.0	162650.0
129.0	162388.0
130.0	161979.0
131.0	162157.0
132.0	162695.0
133.0	158852.0
134.0	155682.0
135.0	152986.0
136.0	150653.0
137.0	149337.0
