#Mapping quality	mapping quality
1.0	46209.0
2.0	4921787.0
3.0	1.0059382E7
4.0	489895.0
5.0	321920.0
6.0	235773.0
7.0	200550.0
8.0	175587.0
9.0	154940.0
10.0	130412.0
11.0	134060.0
12.0	127361.0
13.0	138901.0
14.0	111218.0
15.0	120574.0
16.0	173885.0
17.0	93792.0
18.0	106510.0
19.0	119654.0
20.0	114661.0
21.0	123077.0
22.0	146376.0
23.0	295518.0
24.0	118736.0
25.0	137248.0
26.0	148229.0
27.0	178716.0
28.0	183821.0
29.0	204755.0
30.0	279966.0
31.0	248063.0
32.0	276081.0
33.0	384277.0
34.0	368246.0
35.0	517893.0
36.0	534949.0
37.0	822988.0
38.0	900191.0
39.0	1539773.0
40.0	1829046.0
41.0	3585064.0
42.0	4760833.0
43.0	9646954.0
44.0	1.0435059E7
