#Duplication rate	Coverage
1.0	7012711.0
2.0	2141001.0
3.0	894003.0
4.0	470790.0
5.0	283978.0
6.0	187121.0
7.0	132759.0
8.0	98346.0
9.0	75548.0
10.0	59788.0
11.0	48340.0
12.0	39906.0
13.0	33688.0
14.0	28626.0
15.0	24640.0
16.0	21413.0
17.0	18514.0
18.0	16582.0
19.0	14259.0
20.0	12891.0
21.0	11756.0
22.0	10444.0
23.0	9530.0
24.0	8741.0
25.0	7939.0
26.0	7344.0
27.0	6659.0
28.0	6261.0
29.0	5768.0
30.0	5321.0
31.0	4941.0
32.0	4561.0
33.0	4282.0
34.0	4033.0
35.0	3715.0
36.0	3523.0
37.0	3329.0
38.0	3078.0
39.0	2958.0
40.0	2777.0
41.0	2689.0
42.0	2474.0
43.0	2327.0
44.0	2305.0
45.0	2178.0
46.0	1964.0
47.0	1840.0
48.0	1857.0
49.0	1639.0
50.0	57050.0
