#Position (bp)	insert size	chromosomes
7920.0	161.89524490525562	0.0
23233.0	159.94450610432852	448.0
37327.5	158.88285229202037	0.0
50665.5	160.1809583858764	0.0
63701.5	150.6487784375447	448.0
76465.5	158.59627727856227	0.0
89016.5	159.23300970873785	0.0
101377.5	158.92041686404548	448.0
113514.5	163.20357941834453	0.0
125434.0	157.96754563894524	0.0
137300.5	160.52650176678446	448.0
148889.0	160.83153614990277	0.0
159968.0	156.61117445838084	0.0
170703.0	161.38429752066116	448.0
181289.5	159.07761732851986	0.0
187010.5	152.1304347826087	0.0
192238.5	155.4637809187279	448.0
202103.5	159.92014925373135	0.0
212263.5	159.2511013215859	0.0
222346.5	157.56358645928637	448.0
232301.5	162.46138613861388	0.0
242145.0	159.00483870967741	0.0
251881.0	157.91330166270785	448.0
261464.5	162.1679389312977	0.0
270978.0	165.69856459330143	0.0
280379.0	158.98330241187384	448.0
289584.0	156.06422018348624	0.0
298647.5	158.51745379876797	0.0
307521.5	156.30725942599886	448.0
316214.0	163.45385587863464	0.0
324845.0	154.44235033259423	0.0
333443.0	158.1701444622793	448.0
342014.5	158.33510638297872	0.0
350518.5	161.9179104477612	0.0
358972.0	167.3296089385475	448.0
367379.5	157.41349605168702	0.0
373262.0	169.3957783641161	0.0
377439.0	162.47629083245522	448.0
384083.0	153.66216216216216	0.0
392367.5	156.8568075117371	0.0
400577.5	159.63782051282053	448.0
408756.0	159.23474178403757	0.0
416913.0	157.25757575757575	0.0
425047.5	140.43360995850622	448.0
433166.0	136.0787134997884	0.0
441240.0	162.59625	0.0
449272.5	158.12813370473538	448.0
457292.5	160.15659140568098	0.0
465308.0	161.2012195121951	0.0
473322.5	159.15466517231718	448.0
481331.0	153.72264631043257	0.0
489307.0	166.7054794520548	0.0
497252.0	155.4697699304441	448.0
505179.0	159.3470588235294	0.0
513089.5	160.38048780487804	0.0
520987.0	158.69042189281643	448.0
528834.0	168.98285714285714	0.0
536627.0	155.71175858480748	0.0
544401.0	157.0360153256705	448.0
552166.5	163.5954356846473	0.0
559244.0	155.68483816013628	0.0
563117.0	172.6	448.0
567661.5	154.9418604651163	0.0
575393.0	153.0952380952381	0.0
583117.5	160.15988934993084	448.0
590837.0	161.61048689138576	0.0
598549.5	161.94767441860466	0.0
606234.5	152.65346534653466	448.0
613887.0	155.22466335931963	0.0
621529.0	161.07657657657657	0.0
629169.0	159.88174807197944	448.0
636796.0	158.60018132366272	0.0
644410.5	161.94656488549617	0.0
652022.0	155.9034907597536	448.0
659628.5	157.40212264150944	0.0
667200.0	161.40425531914894	0.0
674731.0	154.66666666666666	448.0
682245.0	159.88073394495413	0.0
689747.5	158.34870848708488	0.0
697241.5	158.7563694267516	448.0
704724.5	156.5290819901892	0.0
712177.5	162.97362637362636	0.0
719596.5	158.65149136577708	448.0
727003.0	158.94139194139194	0.0
734401.5	158.95661157024793	0.0
741793.5	170.13157277912336	448.0
747704.5	159.19298245614036	0.0
751382.5	155.1001221001221	0.0
756514.5	162.58381502890174	448.0
763853.0	158.06405693950177	0.0
771187.0	158.59137931034482	0.0
778509.0	151.3531669865643	448.0
785813.0	158.7928483353884	0.0
793106.0	161.31308411214954	0.0
800390.5	160.0424778761062	448.0
807659.0	178.53251541542178	0.0
814905.0	156.49187935034803	0.0
822133.5	153.5216032755091	448.0
829342.0	161.70724637681158	0.0
836527.5	161.2255717255717	0.0
843683.5	157.47177419354838	448.0
850815.5	160.62023460410558	0.0
857945.0	162.29577464788733	0.0
865066.0	161.20162932790225	448.0
872168.0	158.5215264187867	0.0
879258.5	160.54268292682926	0.0
886340.5	157.99402985074627	448.0
893407.0	158.953302373581	0.0
900464.5	160.8828996282528	0.0
907518.5	161.79265091863516	448.0
914568.0	160.91259640102828	0.0
921612.0	159.24507874015748	0.0
928641.5	162.1918604651163	448.0
934775.5	158.26537458069325	0.0
938284.0	160.53646677471636	0.0
942670.5	156.828125	448.0
949675.5	156.31303879310346	0.0
956675.0	159.2203932327389	0.0
963667.5	162.7066974595843	448.0
970647.0	164.07505518763796	0.0
977605.5	153.27179135209335	0.0
984551.0	159.15561959654178	448.0
991493.5	163.14742014742015	0.0
998423.5	159.23866552609067	0.0
1005340.0	163.33746898263027	448.0
1012252.5	157.56832298136646	0.0
1019158.5	158.18696883852692	0.0
1026058.5	160.66592920353983	448.0
1032920.0	155.78151260504202	0.0
1039740.5	155.87813757424794	0.0
1046556.5	165.051775147929	448.0
1053366.5	157.8492496589359	0.0
1060168.5	160.66555183946488	0.0
1066965.0	159.3720703125	448.0
1073757.5	160.84824624194704	0.0
1080546.5	155.67972742759795	0.0
1087324.5	164.2531914893617	448.0
1094080.0	159.22606232294618	0.0
1100820.0	162.03253424657535	0.0
1107557.5	158.87022900763358	448.0
1114293.0	153.02148528724894	0.0
1121024.5	161.7398568019093	0.0
1124634.5	163.23701109165208	448.0
1127996.0	155.6560398881922	0.0
