#Insert size (bp)	insert size
27.0	1.0
29.0	1.0
30.0	1.0
31.0	1.0
32.0	4.0
33.0	17.0
34.0	15.0
35.0	27.0
36.0	25.0
37.0	33.0
38.0	34.0
39.0	32.0
40.0	771.0
41.0	750.0
42.0	841.0
43.0	877.0
44.0	903.0
45.0	1007.0
46.0	1104.0
47.0	1219.0
48.0	1276.0
49.0	1293.0
50.0	1416.0
51.0	1451.0
52.0	1693.0
53.0	1796.0
54.0	2091.0
55.0	2298.0
56.0	2677.0
57.0	3024.0
58.0	3243.0
59.0	3637.0
60.0	3940.0
61.0	4272.0
62.0	4781.0
63.0	5275.0
64.0	6108.0
65.0	6912.0
66.0	8135.0
67.0	9232.0
68.0	10374.0
69.0	12082.0
70.0	12767.0
71.0	14454.0
72.0	16055.0
73.0	17553.0
74.0	19812.0
75.0	21948.0
76.0	24952.0
77.0	28365.0
78.0	31475.0
79.0	34649.0
80.0	38355.0
81.0	41093.0
82.0	44064.0
83.0	47534.0
84.0	51625.0
85.0	56113.0
86.0	61293.0
87.0	67717.0
88.0	76934.0
89.0	80876.0
90.0	85354.0
91.0	88173.0
92.0	92575.0
93.0	96702.0
94.0	101285.0
95.0	105764.0
96.0	111521.0
97.0	116968.0
98.0	124578.0
99.0	129473.0
100.0	133928.0
101.0	137221.0
102.0	139900.0
103.0	142190.0
104.0	143750.0
105.0	148070.0
106.0	150523.0
107.0	154247.0
108.0	159393.0
109.0	162031.0
110.0	165351.0
111.0	165731.0
112.0	166599.0
113.0	166751.0
114.0	166334.0
115.0	167221.0
116.0	168233.0
117.0	169747.0
118.0	170534.0
119.0	171209.0
120.0	174414.0
121.0	172111.0
122.0	172332.0
123.0	171524.0
124.0	168588.0
125.0	167963.0
126.0	167612.0
127.0	165002.0
128.0	165630.0
129.0	165663.0
130.0	165208.0
131.0	165245.0
132.0	165818.0
133.0	161954.0
134.0	158684.0
135.0	155814.0
136.0	153414.0
137.0	151988.0
138.0	150790.0
139.0	149858.0
140.0	150173.0
141.0	148548.0
142.0	146565.0
143.0	145467.0
144.0	142058.0
145.0	140109.0
146.0	136750.0
147.0	135291.0
148.0	132073.0
149.0	131181.0
150.0	130974.0
151.0	129615.0
152.0	128826.0
153.0	126373.0
154.0	124812.0
155.0	122709.0
156.0	120354.0
157.0	116819.0
158.0	114203.0
159.0	114558.0
160.0	112812.0
161.0	111467.0
162.0	111375.0
163.0	108764.0
164.0	107554.0
165.0	104338.0
166.0	102262.0
167.0	101056.0
168.0	99065.0
169.0	96648.0
170.0	95025.0
171.0	95027.0
172.0	93575.0
173.0	91535.0
174.0	92212.0
175.0	88671.0
176.0	87675.0
177.0	84877.0
178.0	84248.0
179.0	81510.0
180.0	80676.0
181.0	80592.0
182.0	79333.0
183.0	78035.0
184.0	76551.0
185.0	75207.0
186.0	73608.0
187.0	72103.0
188.0	69602.0
189.0	69417.0
190.0	68065.0
191.0	67117.0
192.0	66682.0
193.0	65455.0
194.0	64707.0
195.0	63640.0
196.0	62236.0
197.0	61839.0
198.0	59983.0
199.0	58773.0
200.0	57061.0
201.0	57019.0
202.0	55950.0
203.0	54248.0
204.0	54301.0
205.0	52990.0
206.0	52049.0
207.0	51507.0
208.0	50518.0
209.0	49110.0
210.0	47250.0
211.0	47135.0
212.0	46791.0
213.0	46389.0
214.0	44618.0
215.0	44413.0
216.0	43391.0
217.0	43030.0
218.0	42693.0
219.0	41790.0
220.0	40541.0
221.0	40141.0
222.0	39569.0
223.0	39001.0
224.0	37994.0
225.0	37265.0
226.0	36774.0
227.0	36393.0
228.0	35668.0
229.0	35090.0
230.0	34343.0
231.0	33519.0
232.0	33195.0
233.0	32382.0
234.0	32148.0
235.0	31261.0
236.0	31167.0
237.0	30494.0
238.0	30191.0
239.0	29451.0
240.0	28956.0
241.0	28421.0
242.0	28294.0
243.0	27480.0
244.0	26977.0
245.0	26490.0
246.0	26162.0
247.0	25843.0
248.0	25358.0
249.0	24951.0
250.0	24543.0
251.0	23815.0
252.0	23691.0
253.0	22803.0
254.0	22637.0
255.0	22188.0
256.0	22013.0
257.0	21632.0
258.0	21128.0
259.0	20584.0
260.0	20692.0
261.0	20534.0
262.0	19891.0
263.0	19454.0
264.0	19113.0
265.0	18816.0
266.0	18638.0
267.0	18330.0
268.0	18021.0
269.0	17409.0
270.0	17233.0
271.0	17146.0
272.0	17038.0
273.0	16545.0
274.0	16488.0
275.0	15797.0
276.0	15828.0
277.0	15548.0
278.0	15391.0
279.0	14864.0
280.0	14555.0
281.0	14326.0
282.0	13874.0
283.0	14063.0
284.0	13721.0
285.0	13330.0
286.0	13013.0
287.0	12822.0
288.0	12752.0
289.0	12921.0
290.0	12652.0
291.0	12374.0
292.0	11903.0
293.0	11965.0
294.0	11663.0
295.0	11624.0
296.0	11258.0
297.0	11080.0
298.0	11203.0
299.0	10666.0
300.0	10814.0
301.0	10403.0
302.0	10297.0
303.0	10269.0
304.0	9745.0
305.0	9583.0
306.0	9536.0
307.0	9244.0
308.0	9279.0
309.0	9257.0
310.0	9000.0
311.0	8829.0
312.0	8738.0
313.0	8582.0
314.0	8403.0
315.0	8296.0
316.0	8188.0
317.0	7941.0
318.0	8103.0
319.0	7669.0
320.0	7675.0
321.0	7539.0
322.0	7526.0
323.0	7226.0
324.0	7207.0
325.0	7083.0
326.0	6755.0
327.0	6749.0
328.0	6854.0
329.0	6626.0
330.0	6710.0
331.0	6441.0
332.0	6518.0
333.0	6168.0
334.0	6163.0
335.0	6032.0
336.0	6016.0
337.0	5968.0
338.0	5722.0
339.0	5591.0
340.0	5619.0
341.0	5622.0
342.0	5493.0
343.0	5299.0
344.0	5329.0
345.0	5253.0
346.0	5124.0
347.0	4912.0
348.0	5007.0
349.0	4981.0
350.0	4879.0
351.0	4823.0
352.0	4786.0
353.0	4624.0
354.0	4512.0
355.0	4573.0
356.0	4478.0
357.0	4419.0
358.0	4327.0
359.0	4314.0
360.0	4294.0
361.0	4196.0
362.0	4101.0
363.0	3991.0
364.0	3808.0
365.0	3990.0
366.0	3870.0
367.0	3851.0
368.0	3808.0
369.0	3580.0
370.0	3715.0
